NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
SÃO JOÃO,14,KELMON LUIS DA SILVA SOUZA,14
PORTO FRANCO,14,KELMON LUIS DA SILVA SOUZA,15
AÇAILÂNDIA,14,KELMON LUIS DA SILVA SOUZA,88
SANTANA DO MARANHÃO,14,KELMON LUIS DA SILVA SOUZA,7
FOZ DO IGUAÇU,14,KELMON LUIS DA SILVA SOUZA,100
PEDRO OSÓRIO,14,KELMON LUIS DA SILVA SOUZA,3
ARACAJU,14,KELMON LUIS DA SILVA SOUZA,198
SANTA RITA,14,KELMON LUIS DA SILVA SOUZA,62
MARICÁ,14,KELMON LUIS DA SILVA SOUZA,72
NOSSA SENHORA DAS DORES,14,KELMON LUIS DA SILVA SOUZA,7
CANOAS,14,KELMON LUIS DA SILVA SOUZA,153
BLUMENAU,14,KELMON LUIS DA SILVA SOUZA,151
PILAR,14,KELMON LUIS DA SILVA SOUZA,37
IMBITUVA,14,KELMON LUIS DA SILVA SOUZA,22
COLATINA,14,KELMON LUIS DA SILVA SOUZA,67
FORMIGA,14,KELMON LUIS DA SILVA SOUZA,29
SANTANA DE MANGUEIRA,14,KELMON LUIS DA SILVA SOUZA,4
MALHADOR,14,KELMON LUIS DA SILVA SOUZA,6
MUQUI,14,KELMON LUIS DA SILVA SOUZA,9
PALMEIRA DOS ÍNDIOS,14,KELMON LUIS DA SILVA SOUZA,84
NATUBA,14,KELMON LUIS DA SILVA SOUZA,9
SANTA LUZIA DO ITANHY,14,KELMON LUIS DA SILVA SOUZA,4
BURITI,14,KELMON LUIS DA SILVA SOUZA,29
POÇO VERDE,14,KELMON LUIS DA SILVA SOUZA,7
ZURIQUE,14,KELMON LUIS DA SILVA SOUZA,13
CURRAIS,14,KELMON LUIS DA SILVA SOUZA,4
ITABORAÍ,14,KELMON LUIS DA SILVA SOUZA,94
ASSIS CHATEAUBRIAND,14,KELMON LUIS DA SILVA SOUZA,21
DIVINÓPOLIS,14,KELMON LUIS DA SILVA SOUZA,101
CACHOEIRO DE ITAPEMIRIM,14,KELMON LUIS DA SILVA SOUZA,76
NITERÓI,14,KELMON LUIS DA SILVA SOUZA,219
NOVA ALVORADA DO SUL,14,KELMON LUIS DA SILVA SOUZA,5
VITÓRIA DA CONQUISTA,14,KELMON LUIS DA SILVA SOUZA,145
ALEGRE,14,KELMON LUIS DA SILVA SOUZA,23
GURINHÉM,14,KELMON LUIS DA SILVA SOUZA,4
MARABÁ,14,KELMON LUIS DA SILVA SOUZA,85
CÂNDIDO MENDES,14,KELMON LUIS DA SILVA SOUZA,12
VESPASIANO,14,KELMON LUIS DA SILVA SOUZA,46
SANTANA,14,KELMON LUIS DA SILVA SOUZA,46
SÃO FRANCISCO DO CONDE,14,KELMON LUIS DA SILVA SOUZA,9
TAQUARANA,14,KELMON LUIS DA SILVA SOUZA,15
ENGENHEIRO NAVARRO,14,KELMON LUIS DA SILVA SOUZA,2
SÃO JOSÉ DO NORTE,14,KELMON LUIS DA SILVA SOUZA,19
PAUDALHO,14,KELMON LUIS DA SILVA SOUZA,14
DIADEMA,14,KELMON LUIS DA SILVA SOUZA,127
SCHROEDER,14,KELMON LUIS DA SILVA SOUZA,7
MARIANA,14,KELMON LUIS DA SILVA SOUZA,30
ROLÂNDIA,14,KELMON LUIS DA SILVA SOUZA,24
MARECHAL DEODORO,14,KELMON LUIS DA SILVA SOUZA,99
UBERLÂNDIA,14,KELMON LUIS DA SILVA SOUZA,204
SÃO FIDÉLIS,14,KELMON LUIS DA SILVA SOUZA,17
GUARULHOS,14,KELMON LUIS DA SILVA SOUZA,514
ITU,14,KELMON LUIS DA SILVA SOUZA,62
GOIÂNIA,14,KELMON LUIS DA SILVA SOUZA,575
ÁGUA BRANCA,14,KELMON LUIS DA SILVA SOUZA,20
MAFRA,14,KELMON LUIS DA SILVA SOUZA,40
AMÉRICO BRASILIENSE,14,KELMON LUIS DA SILVA SOUZA,8
BOA VISTA,14,KELMON LUIS DA SILVA SOUZA,131
BARRA DO CORDA,14,KELMON LUIS DA SILVA SOUZA,48
IBIRAMA,14,KELMON LUIS DA SILVA SOUZA,8
SÃO JOÃO DE MERITI,14,KELMON LUIS DA SILVA SOUZA,275
PORTO ALEGRE,14,KELMON LUIS DA SILVA SOUZA,498
TRÊS MARIAS,14,KELMON LUIS DA SILVA SOUZA,14
JUÍNA,14,KELMON LUIS DA SILVA SOUZA,26
CAUCAIA,14,KELMON LUIS DA SILVA SOUZA,74
IAÇU,14,KELMON LUIS DA SILVA SOUZA,15
PORTO REAL,14,KELMON LUIS DA SILVA SOUZA,9
HORTOLÂNDIA,14,KELMON LUIS DA SILVA SOUZA,60
CAMPINAS,14,KELMON LUIS DA SILVA SOUZA,352
CONSELHEIRO LAFAIETE,14,KELMON LUIS DA SILVA SOUZA,65
SANTA LUZIA DO PARUÁ,14,KELMON LUIS DA SILVA SOUZA,6
SAUDADES,14,KELMON LUIS DA SILVA SOUZA,10
CARUARU,14,KELMON LUIS DA SILVA SOUZA,92
PELOTAS,14,KELMON LUIS DA SILVA SOUZA,153
ITAGUAÍ,14,KELMON LUIS DA SILVA SOUZA,61
LUÍS EDUARDO MAGALHÃES,14,KELMON LUIS DA SILVA SOUZA,23
AMARANTE DO MARANHÃO,14,KELMON LUIS DA SILVA SOUZA,25
PORTO REAL DO COLÉGIO,14,KELMON LUIS DA SILVA SOUZA,10
JOAQUIM TÁVORA,14,KELMON LUIS DA SILVA SOUZA,5
BREVES,14,KELMON LUIS DA SILVA SOUZA,34
BOM JESUS DA LAPA,14,KELMON LUIS DA SILVA SOUZA,20
NOVO HAMBURGO,14,KELMON LUIS DA SILVA SOUZA,62
SANTA LUZIA DO PARÁ,14,KELMON LUIS DA SILVA SOUZA,4
CARMO DE MINAS,14,KELMON LUIS DA SILVA SOUZA,6
QUATÁ,14,KELMON LUIS DA SILVA SOUZA,7
MACAPÁ,14,KELMON LUIS DA SILVA SOUZA,248
ANDRÉ DA ROCHA,14,KELMON LUIS DA SILVA SOUZA,4
GUANHÃES,14,KELMON LUIS DA SILVA SOUZA,12
TIMBIRAS,14,KELMON LUIS DA SILVA SOUZA,17
PENEDO,14,KELMON LUIS DA SILVA SOUZA,48
MESQUITA,14,KELMON LUIS DA SILVA SOUZA,86
CERRITO,14,KELMON LUIS DA SILVA SOUZA,9
ARARUAMA,14,KELMON LUIS DA SILVA SOUZA,57
SÃO VICENTE DO SUL,14,KELMON LUIS DA SILVA SOUZA,4
POMBAL,14,KELMON LUIS DA SILVA SOUZA,12
BOA VISTA DO TUPIM,14,KELMON LUIS DA SILVA SOUZA,8
CHAPADINHA,14,KELMON LUIS DA SILVA SOUZA,68
ITINGA DO MARANHÃO,14,KELMON LUIS DA SILVA SOUZA,33
SANTO AMARO DO MARANHÃO,14,KELMON LUIS DA SILVA SOUZA,8
BURI,14,KELMON LUIS DA SILVA SOUZA,3
GENERAL CARNEIRO,14,KELMON LUIS DA SILVA SOUZA,11
SANTA ISABEL DO IVAÍ,14,KELMON LUIS DA SILVA SOUZA,1
JUAZEIRO DO NORTE,14,KELMON LUIS DA SILVA SOUZA,66
PASSO FUNDO,14,KELMON LUIS DA SILVA SOUZA,65
SINOP,14,KELMON LUIS DA SILVA SOUZA,93
CAXIAS,14,KELMON LUIS DA SILVA SOUZA,108
CURVELÂNDIA,14,KELMON LUIS DA SILVA SOUZA,10
MAIRIPORÃ,14,KELMON LUIS DA SILVA SOUZA,31
PORTO NACIONAL,14,KELMON LUIS DA SILVA SOUZA,28
PAULO RAMOS,14,KELMON LUIS DA SILVA SOUZA,14
ITAQUAQUECETUBA,14,KELMON LUIS DA SILVA SOUZA,128
AFUÁ,14,KELMON LUIS DA SILVA SOUZA,17
ITAPUÃ DO OESTE,14,KELMON LUIS DA SILVA SOUZA,4
UNIÃO DOS PALMARES,14,KELMON LUIS DA SILVA SOUZA,43
MUÇUM,14,KELMON LUIS DA SILVA SOUZA,2
QUEIMADAS,14,KELMON LUIS DA SILVA SOUZA,32
ARROIO DO SAL,14,KELMON LUIS DA SILVA SOUZA,5
QUATIPURU,14,KELMON LUIS DA SILVA SOUZA,4
VIANA,14,KELMON LUIS DA SILVA SOUZA,62
PIRANHAS,14,KELMON LUIS DA SILVA SOUZA,14
SÃO BRÁS,14,KELMON LUIS DA SILVA SOUZA,3
WALL FERRAZ,14,KELMON LUIS DA SILVA SOUZA,5
PINDAMONHANGABA,14,KELMON LUIS DA SILVA SOUZA,46
ITAÚ DE MINAS,14,KELMON LUIS DA SILVA SOUZA,6
SENTO SÉ,14,KELMON LUIS DA SILVA SOUZA,5
TIETÊ,14,KELMON LUIS DA SILVA SOUZA,16
BARRA DE SANTO ANTÔNIO,14,KELMON LUIS DA SILVA SOUZA,9
ALÉM PARAÍBA,14,KELMON LUIS DA SILVA SOUZA,8
PIRAÍ DO NORTE,14,KELMON LUIS DA SILVA SOUZA,2
JABOTICABAL,14,KELMON LUIS DA SILVA SOUZA,27
MONTE CASTELO,14,KELMON LUIS DA SILVA SOUZA,5
PARIPUEIRA,14,KELMON LUIS DA SILVA SOUZA,16
QUIJINGUE,14,KELMON LUIS DA SILVA SOUZA,7
SÃO MANUEL,14,KELMON LUIS DA SILVA SOUZA,22
SÃO BERNARDO DO CAMPO,14,KELMON LUIS DA SILVA SOUZA,244
PIMENTA BUENO,14,KELMON LUIS DA SILVA SOUZA,10
CRATEÚS,14,KELMON LUIS DA SILVA SOUZA,16
BOREBI,14,KELMON LUIS DA SILVA SOUZA,1
VITORINO FREIRE,14,KELMON LUIS DA SILVA SOUZA,43
CARNAUBAL,14,KELMON LUIS DA SILVA SOUZA,7
TERENOS,14,KELMON LUIS DA SILVA SOUZA,10
BOM JESUS DAS SELVAS,14,KELMON LUIS DA SILVA SOUZA,20
ESTRELA,14,KELMON LUIS DA SILVA SOUZA,16
QUEIMADOS,14,KELMON LUIS DA SILVA SOUZA,71
CASCAVEL,14,KELMON LUIS DA SILVA SOUZA,145
BREJO DO CRUZ,14,KELMON LUIS DA SILVA SOUZA,6
SÃO JOSÉ DE MIPIBU,14,KELMON LUIS DA SILVA SOUZA,9
IPUAÇU,14,KELMON LUIS DA SILVA SOUZA,6
JI-PARANÁ,14,KELMON LUIS DA SILVA SOUZA,56
ÓBIDOS,14,KELMON LUIS DA SILVA SOUZA,10
CATANDUVA,14,KELMON LUIS DA SILVA SOUZA,49
CONTAGEM,14,KELMON LUIS DA SILVA SOUZA,202
TURIAÇU,14,KELMON LUIS DA SILVA SOUZA,11
LAGUNA,14,KELMON LUIS DA SILVA SOUZA,20
LIVRAMENTO,14,KELMON LUIS DA SILVA SOUZA,1
BUJARU,14,KELMON LUIS DA SILVA SOUZA,9
PENALVA,14,KELMON LUIS DA SILVA SOUZA,23
ITAPERUNA,14,KELMON LUIS DA SILVA SOUZA,50
CANTÁ,14,KELMON LUIS DA SILVA SOUZA,4
BOM JESUS DO ITABAPOANA,14,KELMON LUIS DA SILVA SOUZA,23
SANT ANA DO LIVRAMENTO,14,KELMON LUIS DA SILVA SOUZA,39
ARAUCÁRIA,14,KELMON LUIS DA SILVA SOUZA,79
AURORA DO TOCANTINS,14,KELMON LUIS DA SILVA SOUZA,2
TUNAS,14,KELMON LUIS DA SILVA SOUZA,1
SALGUEIRO,14,KELMON LUIS DA SILVA SOUZA,15
IBATÉ,14,KELMON LUIS DA SILVA SOUZA,19
CAPIVARI,14,KELMON LUIS DA SILVA SOUZA,16
MOSSORÓ,14,KELMON LUIS DA SILVA SOUZA,54
LONDRINA,14,KELMON LUIS DA SILVA SOUZA,298
VARZEDO,14,KELMON LUIS DA SILVA SOUZA,3
SÃO SEBASTIÃO DA AMOREIRA,14,KELMON LUIS DA SILVA SOUZA,4
IBITINGA,14,KELMON LUIS DA SILVA SOUZA,13
ALAGOINHAS,14,KELMON LUIS DA SILVA SOUZA,58
VIÇOSA DO CEARÁ,14,KELMON LUIS DA SILVA SOUZA,15
BELFORD ROXO,14,KELMON LUIS DA SILVA SOUZA,192
MAGÉ,14,KELMON LUIS DA SILVA SOUZA,119
SANTA BÁRBARA D OESTE,14,KELMON LUIS DA SILVA SOUZA,104
SANTANA DO SÃO FRANCISCO,14,KELMON LUIS DA SILVA SOUZA,4
ITAJAÍ,14,KELMON LUIS DA SILVA SOUZA,54
CACHOEIRA DE PAJEÚ,14,KELMON LUIS DA SILVA SOUZA,3
FLORESTAL,14,KELMON LUIS DA SILVA SOUZA,3
OSASCO,14,KELMON LUIS DA SILVA SOUZA,274
RAPOSA,14,KELMON LUIS DA SILVA SOUZA,17
PEIXE,14,KELMON LUIS DA SILVA SOUZA,4
CAMAMU,14,KELMON LUIS DA SILVA SOUZA,16
CAMPOS NOVOS,14,KELMON LUIS DA SILVA SOUZA,19
COCAL DO SUL,14,KELMON LUIS DA SILVA SOUZA,10
GAMELEIRA,14,KELMON LUIS DA SILVA SOUZA,8
MATÕES DO NORTE,14,KELMON LUIS DA SILVA SOUZA,16
SEROPÉDICA,14,KELMON LUIS DA SILVA SOUZA,40
GLÓRIA DE DOURADOS,14,KELMON LUIS DA SILVA SOUZA,3
FLORIANÓPOLIS,14,KELMON LUIS DA SILVA SOUZA,205
SAPIRANGA,14,KELMON LUIS DA SILVA SOUZA,22
ANÁPOLIS,14,KELMON LUIS DA SILVA SOUZA,196
PONTE NOVA,14,KELMON LUIS DA SILVA SOUZA,29
NOVO LINO,14,KELMON LUIS DA SILVA SOUZA,17
DOIS IRMÃOS,14,KELMON LUIS DA SILVA SOUZA,11
GUARATINGUETÁ,14,KELMON LUIS DA SILVA SOUZA,42
MATRIZ DE CAMARAGIBE,14,KELMON LUIS DA SILVA SOUZA,36
RIBEIRÃO CASCALHEIRA,14,KELMON LUIS DA SILVA SOUZA,9
LAGOA DA PRATA,14,KELMON LUIS DA SILVA SOUZA,15
ARAÇOIABA,14,KELMON LUIS DA SILVA SOUZA,9
CAPÃO DO LEÃO,14,KELMON LUIS DA SILVA SOUZA,17
SÃO JOSÉ DA LAGOA TAPADA,14,KELMON LUIS DA SILVA SOUZA,5
LAGOA SECA,14,KELMON LUIS DA SILVA SOUZA,11
GOVERNADOR NUNES FREIRE,14,KELMON LUIS DA SILVA SOUZA,13
IPU,14,KELMON LUIS DA SILVA SOUZA,11
SOBRADINHO,14,KELMON LUIS DA SILVA SOUZA,12
SANTA TERESA,14,KELMON LUIS DA SILVA SOUZA,10
FERRAZ DE VASCONCELOS,14,KELMON LUIS DA SILVA SOUZA,65
SÃO JOSÉ DO RIO PRETO,14,KELMON LUIS DA SILVA SOUZA,133
PAULISTA,14,KELMON LUIS DA SILVA SOUZA,116
DIANÓPOLIS,14,KELMON LUIS DA SILVA SOUZA,8
TRIUNFO,14,KELMON LUIS DA SILVA SOUZA,14
