NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
CARANGOLA,15,SIMONE NASSAR TEBET,571
PAÇO DO LUMIAR,15,SIMONE NASSAR TEBET,2307
ERECHIM,15,SIMONE NASSAR TEBET,2776
MUNDO NOVO,15,SIMONE NASSAR TEBET,533
CRATO,15,SIMONE NASSAR TEBET,639
PERI MIRIM,15,SIMONE NASSAR TEBET,79
ELESBÃO VELOSO,15,SIMONE NASSAR TEBET,122
CONFRESA,15,SIMONE NASSAR TEBET,254
ITAITUBA,15,SIMONE NASSAR TEBET,1634
SANTO ANTÔNIO DO TAUÁ,15,SIMONE NASSAR TEBET,970
PINTÓPOLIS,15,SIMONE NASSAR TEBET,108
CIANORTE,15,SIMONE NASSAR TEBET,1790
PARAÍSO DO TOCANTINS,15,SIMONE NASSAR TEBET,654
SÃO GERALDO DO ARAGUAIA,15,SIMONE NASSAR TEBET,400
FILADÉLFIA,15,SIMONE NASSAR TEBET,384
CORRENTES,15,SIMONE NASSAR TEBET,71
ITUPIRANGA,15,SIMONE NASSAR TEBET,635
CACHOEIRO DE ITAPEMIRIM,15,SIMONE NASSAR TEBET,3983
ITINGA,15,SIMONE NASSAR TEBET,87
BOA VISTA,15,SIMONE NASSAR TEBET,9323
SÃO DOMINGOS DO MARANHÃO,15,SIMONE NASSAR TEBET,246
NOVA OLINDA DO MARANHÃO,15,SIMONE NASSAR TEBET,127
PORTO DA FOLHA,15,SIMONE NASSAR TEBET,342
MACEIÓ,15,SIMONE NASSAR TEBET,25840
MONTE ALEGRE DO PIAUÍ,15,SIMONE NASSAR TEBET,121
SÃO CAITANO,15,SIMONE NASSAR TEBET,229
MONTES CLAROS,9947,SIMONE NASSAR TEBET,9947
ANDORINHA,15,SIMONE NASSAR TEBET,77
BARROQUINHA,15,SIMONE NASSAR TEBET,74
BREJINHO,15,SIMONE NASSAR TEBET,237
MARICÁ,15,SIMONE NASSAR TEBET,3309
CHAPADA GAÚCHA,15,SIMONE NASSAR TEBET,162
NITERÓI,15,SIMONE NASSAR TEBET,14663
